Time,CV,MV,MVSP,DV1,DV2,DV3
142,71.87319946,46.48789978,46.50960159,70,24296.19922,0.626278996
143,71.86170197,46.49850082,46.51570129,70,24307.90039,0.626281977
144,71.87740326,46.49039841,46.49679947,70,24308.90039,0.626138985
145,71.87255096,46.49784851,46.49679947,70,24308.25,0.627534509
146,71.86769867,46.50529861,46.50569916,70,24307.59961,0.628929973
147,71.87609863,46.51300049,46.50640106,70,24292.19922,0.626134992
148,71.87409973,46.50139999,46.50090027,70,24322.09961,0.625087976
149,71.85710144,46.52410126,46.54909897,70,24301.5,0.626048028
150,71.87280273,46.53120041,46.49909973,70,24339.80078,0.625446022
151,71.86560059,46.53770065,46.49909973,70,24302.5,0.625699997
152,71.85839844,46.5442009,46.56760025,70,24265.19922,0.625953972
153,71.85990143,46.53440094,46.52519989,70,24304.5,0.627604008
154,71.86360168,46.55179977,46.52819824,70,24316.40039,0.626492023
155,71.85810089,46.55220032,46.55860138,70,24314.09961,0.625985026
156,71.85590363,46.55870056,46.53649902,70,24288.30078,0.627219021
157,71.85569763,46.55899811,46.53649902,70,24318.85156,0.626552522
158,71.85549927,46.55929947,46.53129959,70,24349.40039,0.625886023
159,71.85310364,46.57020187,46.55220032,70,24296.80078,0.625446975
160,71.85790253,46.57450104,46.53099823,70,24304,0.626070976
161,71.86209869,46.56159973,46.56639862,70,24307.30078,0.626053989
162,71.86119843,46.56520081,46.56110001,70,24310.40039,0.626338005
163,71.85874939,46.55885315,46.56110001,70,24307.5,0.627112508
164,71.85630035,46.55250168,46.57429886,70,24304.59961,0.627887011
165,71.86100006,46.54980087,46.57460022,70,24312.90039,0.626865983
166,71.87439728,46.55899811,46.55530167,70,24336.40039,0.626434982
167,71.85489655,46.55130005,46.60829926,70,24311.59961,0.625865996
168,71.83730316,46.55400085,46.60390091,70.99990082,24301.09961,0.628253996
169,71.84725189,46.56520081,46.60390091,70.99990082,24286.55078,0.627334476
170,71.85720062,46.57640076,46.6004982,70.99990082,24272,0.626415014
171,71.85199738,46.57339859,46.58520126,70.99990082,24262.30078,0.627003014
172,71.84909821,46.59410095,46.60369873,70.99990082,24302.80078,0.626164973
173,71.85910034,46.58380127,46.5727005,70.99990082,24234.19922,0.626250029
174,71.87180328,46.58750153,46.59540176,70.99990082,24214.59961,0.626425982
175,71.86470032,46.59705353,46.59540176,70.99990082,24212.09961,0.626843989
176,71.85759735,46.60660172,46.59469986,70.99990082,24209.59961,0.627261996
177,71.86229706,46.58229828,46.61719894,70.99990082,24228.09961,0.627089024
178,71.85030365,46.56650162,46.63629913,70.99990082,24225.40039,0.627056003
179,71.84480286,46.59659958,46.6352005,70.99990082,24226.80078,0.627506018
180,71.85310364,46.59529877,46.62099838,70.99990082,24222,0.627644002
181,71.8480072,46.60779953,46.62099838,70.99990082,24230.90039,0.627099514
182,71.84290314,46.62030029,46.65259933,70.99990082,24239.80078,0.626555026
183,71.8553009,46.62649918,46.61130142,70.99990082,24191.09961,0.626219988
184,71.83750153,46.63439941,46.60430145,70.99990082,24141.90039,0.627618015
185,71.854599,46.63660049,46.63980103,70.99990082,24214,0.627561986
186,71.86579895,46.63600159,46.62530136,70.99990082,24094.90039,0.627493978
187,71.85569763,46.63725281,46.62530136,70.99990082,24134.40039,0.625820518
